x,y
0.0,1.9928046269848978
0.13793103448275862,1.9588259597851716
0.27586206896551724,0.7982993539717911
0.41379310344827586,2.6700806409168676
0.5517241379310345,2.546459377370172
0.6896551724137931,2.1160006756035408
0.8275862068965517,3.831325457758088
0.9655172413793103,4.2280962273848575
1.103448275862069,3.37159510213502
1.2413793103448276,2.730903698321275
1.3793103448275863,4.328024912642614
1.5172413793103448,3.893564991489318
1.6551724137931034,3.7526977615247157
1.793103448275862,4.845960722735673
1.9310344827586206,5.169617719964132
2.0689655172413794,5.067293265072053
2.206896551724138,5.590954598719086
2.3448275862068964,5.070064722438408
2.4827586206896552,5.699709203515007
2.6206896551724137,6.855896743612846
2.7586206896551726,5.41350357825971
2.896551724137931,5.82696950448487
3.0344827586206895,5.929032400997864
3.1724137931034484,5.259515541465445
3.310344827586207,6.196359323912678
3.4482758620689653,6.0273786412798795
3.586206896551724,7.128858538181938
3.7241379310344827,5.873824366209921
3.862068965517241,7.231384471425542
4.0,5.095807949569435
